species,bio1,bio5,bio6,bio12,bio16,bio17,clade
Acanthodactylus_yemenicus,215.8463404,323.3614551,102.5881828,246.9381431,137.0043251,13.70220533,Lacertoidea
Acanthophis_antarcticus,192.2277721,323.0868668,55.46060853,643.9846935,282.5234269,80.30333865,Serpentes
Acanthophis_hawkei,255.9354585,382.339509,96.64683837,418.5911925,269.5565187,12.30737331,Serpentes
Acanthophis_praelongus,248.742093,330.1660563,155.6556267,1407.8074,935.3484403,31.12795847,Serpentes
Acanthophis_pyrrhus,227.6451988,376.7855526,68.69311119,257.9438478,127.2443839,22.02347551,Serpentes
Acanthophis_rugosus,266.0054088,366.9672921,138.3938247,920.8287959,607.3313511,9.96396681,Serpentes
Acanthophis_wellsi,254.6642982,393.2799319,100.1759774,311.7134412,178.1849264,11.00237257,Serpentes
Acanthoptila_nipalensis,177.613341,286.177547,46.40850846,1742.06835,1133.556217,55.9163829,Passeriformes
Acanthorhynchus_superciliosus,165.6380975,300.4762084,63.10091843,570.9994664,268.6177623,51.00853852,Passeriformes
Acanthorhynchus_tenuirostris,154.4441088,276.4204987,38.92761372,927.1427499,350.7514032,135.5593842,Passeriformes
Acanthornis_magna,99.96282828,196.2163371,24.82263548,1468.889503,483.1088193,233.3596934,Passeriformes
Acanthosaura_brachypoda,156.6000061,235.5559692,56.71158218,2204.57373,1208.976807,40.99600983,Iguania
Acanthosaura_capra,233.9015456,305.474702,160.6978555,1998.55131,946.9582705,65.64219199,Iguania
Acanthosaura_cardamomensis,255.48177,318.1143462,187.1181042,2293.758938,1129.386398,61.80248885,Iguania
Acanthosaura_coronata,236.1787843,307.2992754,164.4996071,1836.505156,879.6829969,56.36493397,Iguania
Acanthosaura_crucigera,250.6792437,340.8090564,149.9190809,1886.799371,1028.913023,44.4899559,Iguania
Acanthosaura_lepidogaster,230.6099246,325.8406351,114.7247072,1631.608912,874.6744416,54.08977253,Iguania
Acanthosaura_nataliae,229.1105809,308.3346941,138.1193232,2441.953003,1371.667341,78.94867791,Iguania
Acanthosaura_titiwangsaensis,186.9182587,236.8040619,139.2987213,2674.530273,922.3778687,454.7408142,Iguania
Acerodon_celebensis,239.6993171,293.5632415,190.8588204,2144.762357,746.121971,323.11267,Chiroptera
Acerodon_humilis,263.3096274,314.081472,215.2622706,3161.854458,912.1291305,660.3879948,Chiroptera
Acerodon_jubatus,254.8705405,313.5586652,200.5576379,2548.923909,1066.96392,257.3057245,Chiroptera
Acerodon_leucotis,262.2483692,314.0754119,213.7295055,1944.447995,858.1475262,91.62508288,Chiroptera
Acerodon_mackloti,240.2415097,298.9224507,172.7979843,1690.824688,862.9820305,74.9158224,Chiroptera
Achaetops_pycnopygius,209.6175085,311.0268055,82.60819025,413.28729,266.4989456,0.733053269,Passeriformes
Achalinus_ater,174.6362092,300.298738,36.05652211,1334.709078,650.711684,97.65012832,Serpentes
Achalinus_formosanus,175.893883,249.0011011,88.92795588,2591.900996,1056.511376,298.4511632,Serpentes
